state,total_votes,VEP_Turnout
Alabama,2323304,63.1
Alaska,359530,68.4
Arizona,3387326,65.3
Arkansas,1219069,55.9
California,17495906,67.4
Colorado,3256953,75.5
Connecticut,1824280,70.1
Delaware,504010,70
District of Columbia,344356,63.7
Florida,11067456,71.2
Georgia,4997716,67.7
Hawaii,574469,57
Idaho,868106,67.1
Illinois,6038843,66.8
Indiana,3033198,60.7
Iowa,1690871,72.8
Kansas,1375304,65.8
Kentucky,2136768,64.5
Louisiana,2148062,63.7
Maine,819461,75.5
Maryland,3037030,70.4
Massachusetts,3631402,71.6
Michigan,5539302,73.4
Minnesota,3277171,79.6
Mississippi,1315182,59.7
Missouri,3025962,65.7
Montana,605750,72.3
Nebraska,956379,69.1
Nevada,1405376,65.2
New Hampshire,804430,74.6
New Jersey,4564234,73.9
New Mexico,923965,61
New York,8613546,63
North Carolina,5524801,71.2
North Dakota,361819,64
Ohio,5922202,66.8
Oklahoma,1560699,54.8
Oregon,2374321,74.3
Pennsylvania,6925255,70.7
Rhode Island,517757,64.7
South Carolina,2513329,64
South Dakota,422609,65.2
Tennessee,3054534,59.6
Texas,11317911,60.2
Utah,1488289,67.9
Vermont,367428,73.5
Virginia,4460524,72
Washington,4087631,75.2
West Virginia,794652,57
Wisconsin,3297352,75.5
Wyoming,276765,64.2
